"37-30 73rd Street, Unit 1P",Jackson Heights,2100,1 BD,1 BA
"46-30 Center Boulevard, Unit PH3",Hunters Point,6250,2 BD,3 BA
134-11 160th Street,Rochdale,1880,1 BD,1 BA
"57-59 Copper Avenue, Unit 2",Glendale,1950,2 BD,1 BA
"44-72 11th Street, Unit A210",Hunters Point,3900,2 BD,1 BA
"57-59 Cooper Avenue, Unit 1",Glendale,2100,2 BD,1 BA
"31-69 37th Street, Unit 11",Astoria,1900,1 BD,1 BA
"25-49 47th Street, Unit 2R",Astoria,1800,1 BD,1 BA
"34-25 57th Street, Unit 2",Woodside,2700,3 BD,1 BA
"29-08 31st Avenue, Unit B7",Astoria,1876,Studio,1 BA
"18-65 Madison Street, Unit 1L",Ridgewood,1999,1 BD,1 BA
"37-31 58th Street, Unit 2",Woodside,3000,2 BD,1.5 BA
"48-48 48th Street, Unit 3R",Sunnyside,2200,2 BD,1 BA
"26-27 18th Street, Unit 4",Astoria,2650,1 BD,1 BA
"25-21 43rd Avenue, Unit 410",Long Island City,3200,1 BD,1 BA
"27-57 Crescent Street, Unit 1B",Astoria,2308,1 BD,1 BA
"143-45 Barclay Avenue, Unit C5",Downtown Flushing,2300,2 BD,2 BA
"22-46 31st Street, Unit 2A",Ditmars,2300,2 BD,1 BA
"33-46 92nd Street, Unit 1W",Jackson Heights,2800,2 BD,1.5 BA
"44-14 Newtown Road, Unit 1",Astoria,2000,1 BD,1 BA
"27-57 Crescent Street, Unit 1B",Astoria,2538,1 BD,1 BA
"26-14 Jackson Avenue, Unit 10C",Long Island City,2385,Studio,1 BA
"46-04 Vernon Boulevard, Unit 3C",Long Island City,4000,2 BD,2 BA
"46-04 Vernon Boulevard, Unit 2A",Long Island City,3000,1 BD,1 BA
"35-33 34th Street, Unit 1",New Astoria,3200,3 BD,1 BA
248-5 40th Avenue,Long Island City,2600,3 BD,2 BA
"5618 Cloverdale Boulevard, Unit 2",Bayside,2100,2 BD,1.5 BA
"41-26 27th Street, Unit 2B",Long Island City,2400,Studio,1 BA
"5-09 48th Avenue, Unit 7B",Hunters Point,3850,1 BD,1 BA
"21-67 35th Street, Unit 2",Astoria,3000,2 BD,1 BA
