"322 Gates Avenue, Unit 2F",Bedford-Stuyvesant,2538,1 BD,1 BA,Brooklyn
"276 St James Place, Unit 1",Clinton Hill,4150,2 BD,1.5 BA,Brooklyn
"306 St James Place, Unit 4R",Clinton Hill,2400,1 BD,1 BA,Brooklyn
"42 South Oxford Street, Unit 1",Fort Greene,2500,Studio,1 BA,Brooklyn
"25 Lexington Avenue, Unit 301",Clinton Hill,3282,1 BD,1 BA,Brooklyn
"322 Gates Avenue, Unit 4B",Bedford-Stuyvesant,3369,2 BD,2 BA,Brooklyn
"15 Westminster Road, Unit 4E",Prospect Park South,2195,2 BD,1 BA,Brooklyn
"382 Central Avenue, Unit 1A",Bushwick,2450,3 BD,1 BA,Brooklyn
"49 Jefferson Avenue, Unit 2",Clinton Hill,2500,1 BD,1 BA,Brooklyn
"5 Macdonough Street, Unit 1LR",Bedford-Stuyvesant,2300,2 BD,1 BA,Brooklyn
"378 Rutland Road, Unit 1R",Prospect Lefferts Gardens,1950,2 BD,1 BA,Brooklyn
Havemeyer Street,Williamsburg,3200,2 BD,1 BA,Brooklyn
"388 Bridge Street, Unit 42B",Downtown Brooklyn,3900,1 BD,1 BA,Brooklyn
"149 Sterling Street, Unit 1C",Prospect Lefferts Gardens,2500,2 BD,1 BA,Brooklyn
"479 Clinton Avenue, Unit BB",Clinton Hill,3800,3 BD,1 BA,Brooklyn
"268 9th Street, Unit 1",South Slope,3950,2 BD,1 BA,Brooklyn
"419 Chauncey Street, Unit 1C",Bedford-Stuyvesant,2099,1 BD,1 BA,Brooklyn
"436 Willoughby Avenue, Unit 3",Bedford-Stuyvesant,2900,2 BD,1 BA,Brooklyn
"3105 Brighton 3rd Street, Unit 2C",Brighton Beach,1800,1 BD,1 BA,Brooklyn
"2101 Bedford Avenue, Unit 1J",Flatbush,1350,Studio,1 BA,Brooklyn
14th Street,South Slope,3000,3 BD,1 BA,Brooklyn
"568 President Street, Unit 3",Gowanus,2400,1 BD,1 BA,Brooklyn
"1165 Flatbush Avenue, Unit 3",Flatbush,2000,2 BD,1 BA,Brooklyn
"733 Rogers Avenue, Unit 402",Flatbush,2530,2 BD,1 BA,Brooklyn
"651 New York Avenue, Unit 401",Wingate,3000,2 BD,1 BA,Brooklyn
478 Chauncey Street,Bedford-Stuyvesant,2100,2 BD,1 BA,Brooklyn
"1 Northside Piers, Unit 18E",Williamsburg,5750,2 BD,2 BA,Brooklyn
"1671 Lincoln Place, Unit 4C",Crown Heights,2450,3 BD,1 BA,Brooklyn
"287 East 18th Street, Unit 3C",Ditmas Park,3100,3 BD,1 BA,Brooklyn
"34 North 7th Street, Unit 4i",Williamsburg,4250,1 BD,2 BA,Brooklyn
"4 Downing Street, Unit THB",Clinton Hill,6995,3 BD,3 BA,Brooklyn
"1075 Bushwick Avenue, Unit 1D",Bushwick,3280,3 BD,2 BA,Brooklyn
344 Franklin Avenue,Clinton Hill,3999,Studio,1 BA,Brooklyn
"50 Greene Avenue, Unit 3A",Fort Greene,2450,1 BD,1 BA,Brooklyn
"195 Spencer Street, Unit 3A",Bedford-Stuyvesant,3800,1 BD,1.5 BA,Brooklyn
"38 Prospect Park Southwest, Unit 6",Windsor Terrace,2700,2 BD,1 BA,Brooklyn
"180 Sterling Place, Unit 16",North Slope,3000,1 BD,1 BA,Brooklyn
309 Warren Street,Cobble Hill,10750,4 BD,4 BA,Brooklyn
"939 Putnam Avenue, Unit 3",Bedford-Stuyvesant,2750,3 BD,1 BA,Brooklyn
"357 Sterling Place, Unit 1C",Prospect Heights,2600,1 BD,1 BA,Brooklyn
"318 Warren Street, Unit B10",Cobble Hill,3850,2 BD,1 BA,Brooklyn
"651 New York Avenue, Unit 307",Wingate,2400,1 BD,1 BA,Brooklyn
"75 16th Street, Unit 1",Gowanus,3000,2 BD,1 BA,Brooklyn
"516 Classon Avenue, Unit 5B",Clinton Hill,3500,2 BD,2 BA,Brooklyn
