Address,Neighborhood,Price,Beds,Baths,Boro
"655 6th Avenue, Unit 5A",Chelsea,6300,1 BD,1.5 BA,Manhattan
"13 East 131st Street, Unit 4B",East Harlem,2525,2 BD,1 BA,Manhattan
"535 Broadway, Unit Retail",SoHo,102208,empty Beds,empty Bath,Manhattan
"539 Malcolm X Boulevard, Unit 1A",Harlem,2799,2 BD,1 BA,Manhattan
"1443 York Avenue, Unit 5S",Upper East Side,2995,2 BD,1 BA,Manhattan
"280 Park Avenue South, Unit 19L",Flatiron,6995,2 BD,2 BA,Manhattan
"55 West 17th Street, Unit 804",Flatiron,16500,3 BD,2.5 BA,Manhattan
"97 Lexington Avenue, Unit 5A",Kips Bay,2750,1 BD,1 BA,Manhattan
"7 West 122nd Street, Unit 3",Harlem,3000,2 BD,1 BA,Manhattan
"123 Washington Street, Unit 47G",Financial District,4500,1 BD,1 BA,Manhattan
"3850 Broadway, Unit RETAIL",Washington Heights,15450,empty Beds,empty Bath,Manhattan
"135 East 54th Street, Unit 12J",Midtown East,2595,Alcove,1 BA,Manhattan
"15 Central Park West, Unit 28D",Upper West Side,60000,3 BD,4 BA,Manhattan
"254 West 25th Street, Unit 3D",Chelsea,3300,1 BD,1 BA,Manhattan
"21 West Street, Unit 11C",Financial District,5725,2 BD,2 BA,Manhattan
"330 East 75th Street, Unit 17A",Upper East Side,8500,3 BD,3 BA,Manhattan
"129 East 39th Street, Unit 2B",Murray Hill,2200,Studio,1 BA,Manhattan
"382 Central Park West, Unit 12C",Upper West Side,6200,2 BD,2 BA,Manhattan
"25 Tudor City Place, Unit 622",Murray Hill,2000,Studio,1 BA,Manhattan
"247 West 46th Street, Unit 1406",Theater District,4300,1 BD,1.5 BA,Manhattan
"210 West 19th Street, Unit 1E",Chelsea,4200,1 BD,2 BA,Manhattan
"195 Hudson Street, Unit 5A",TriBeCa,29000,3 BD,2.5 BA,Manhattan
"350 East 50th Street, Unit 4A",Midtown East,2100,Studio,1 BA,Manhattan
"580 Amsterdam Avenue, Unit B",Upper West Side,5500,empty Beds,empty Bath,Manhattan
"300 East 23rd Street, Unit 7H",Gramercy,4650,1 BD,1 BA,Manhattan
"218 East 13th Street, Unit 1",East Village,3000,Studio,1 BA,Manhattan
"245 West 51st Street, Unit 707",Theater District,3795,2 BD,1 BA,Manhattan
"2001-2007 Broadway , Unit Retail",Upper West Side,16267,empty Beds,empty Bath,Manhattan
