,Address,Price,Boro,Bed,Bath,Rental,Agency,Neighborhood
1,"208 East 87th Street, Apt. 5E",2178,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper East Side
2,"250 East 54th Street, Apt. 28C",4700,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Midtown East
3,"228 East 81st Street, Apt. 1D",1995,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
4,"540 West 28th Street, Apt. 12B",5500,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Chelsea
4,"540 West 28th Street, Apt. 12B",5500,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Hudson Yards
5,"381 Broome Street, Apt. 2F",5000,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Soho
5,"381 Broome Street, Apt. 2F",5000,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Nolita
6,"77 East 12th Street, Apt. 15A",3000,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Greenwich Village
7,"450 West 17th Street, Apt. 1710",5800,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Chelsea
7,"450 West 17th Street, Apt. 1710",5800,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Hudson Yards
8,"2279 Third Avenue, Apt. 4B",2500,Manhattan,1 Bed, 1 Bath , 745 Sq. Ft. / Condo,Corcoran,East Harlem
9,"200 West 107th Street, Apt. 3B",4500,Manhattan,3 Beds, 2 Baths , Rental,Corcoran,Upper West Side
11,"393 West 49th Street, Apt. 2KK",2600,Manhattan,Studio, 1 Bath , 428 Sq. Ft. / Condo,Corcoran,Clinton
12,"25 Indian Road, Apt. 4H",2200,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Inwood
13,"177 Avenue B, Apt. 4A",6000,Manhattan,4 Beds, 2 Baths , Rental,Corcoran,East Village
14,"158-18 Riverside Drive West, Apt. 2K",2950,Manhattan,1 Bed, 1 Bath ," 1,010 Sq. Ft. / Co-op",Corcoran,Washington Heights
15,"302 West 12th Street, Apt. 5D",5995,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,West Village
16,"419 East 57th Street, Apt. MW",12500,Manhattan,4 Beds, 3 Baths ," 2,466 Sq. Ft. / Co-op",Corcoran,Sutton Area
17,"715 Park Avenue, Apt. 15A",5300,Manhattan,1 Bed, 1 Bath ," 1,000 Sq. Ft. / Condo",Corcoran,Upper East Side
18,"21 Astor Place, Apt. 6F",7500,Manhattan,1 Bed, 1 Bath ," 1,262 Sq. Ft. / Condo",Corcoran,Greenwich Village
19,"325 Fifth Avenue, Apt. 15A",6295,Manhattan,2 Beds, 2 Baths ," 1,176 Sq. Ft. / Condo",Corcoran,Murray Hill
20,"45 East 25th Street, Apt. 14B",4750,Manhattan,1 Bed, 1 Bath , 750 Sq. Ft. / Condo,Corcoran,Flatiron
21,"18 East 12th Street, Apt. 6D",7500,Manhattan,1 Bed, 1 Bath ," 1,277 Sq. Ft. / Condo",Corcoran,Greenwich Village
22,"38 Gramercy Park North, Apt. 4F",4000,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Gramercy
23,"470 West 24th Street, Apt. 11F",2900,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Chelsea
23,"470 West 24th Street, Apt. 11F",2900,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Hudson Yards
24,"470 West 24th Street, Apt. 11F",2900,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Chelsea
24,"470 West 24th Street, Apt. 11F",2900,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Hudson Yards
25,"242 East 3rd Street, Apt. 8",3000,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,East Village
26,"39 East 29th Street, Apt. 22D",6000,Manhattan,1 Bed, 1 Bath , 826 Sq. Ft. / Condo,Corcoran,Flatiron
27,"24 Fifth Avenue, Apt. 520",2950,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Greenwich Village
28,"308 East 72nd Street, Apt. 19C",8200,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Upper East Side
29,"121 East 23rd Street, Apt. 12A",6500,Manhattan,2 Beds, 2 Baths , 981 Sq. Ft. / Condo,Corcoran,Gramercy
30,"209 East 88th Street, Apt. 2C",2450,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Upper East Side
31,"40 Prince Street, Apt. 6C",6450,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Soho
31,"40 Prince Street, Apt. 6C",6450,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Nolita
32,"372 Central Park West, Apt. 11T",2995,Manhattan,1 Bed, 1 Bath , 533 Sq. Ft. / Condo,Corcoran,Upper West Side
34,"5-7 Minetta Street, Apt. 3F",2360,Manhattan,Studio, 1 Bath , Rental,Corcoran,Greenwich Village
36,"455 Main Street, Apt. 12A",3100,Manhattan,1 Bed, 1 Bath , 737 Sq. Ft. / Condo,Corcoran,Roosevelt Island
37,"317 West 54th Street, Apt. 1F",2995,Manhattan,1 Bed, 1 Bath , 720 Sq. Ft. / Co-op,Corcoran,Midtown West
