"25 West 94th Street, Apt. 2",13000,7 Units / 3 Floors / Multi-Family Townhouse,Upper West Side
"208 East 87th Street, Apt. 5E",2178,1 Bed / 1 Bath / Rental,Upper East Side
"250 East 54th Street, Apt. 28C",4700,1 Bed / 1 Bath / Condo,Midtown East
"228 East 81st Street, Apt. 1D",1995,Studio / 1 Bath / Rental,Upper East Side
"540 West 28th Street, Apt. 12B",5500,2 Beds / 2 Baths / Condo,Chelsea/Hudson Yards
"381 Broome Street, Apt. 2F",5000,1 Bed / 1 Bath / Condo,Soho/Nolita
"77 East 12th Street, Apt. 15A",3000,Studio / 1 Bath / Co-op,Greenwich Village
"450 West 17th Street, Apt. 1710",5800,1 Bed / 1 Bath / Condo,Chelsea/Hudson Yards
"2279 Third Avenue, Apt. 4B",2500,1 Bed / 1 Bath / 745 Sq. Ft. / Condo,East Harlem
"200 West 107th Street, Apt. 3B",4500,3 Beds / 2 Baths / Rental,Upper West Side
"212 West 15th Street, Apt. 3-4",15000,4 Units / 4 Floors / Multi-Family Townhouse,Chelsea/Hudson Yards
"393 West 49th Street, Apt. 2KK",2600,Studio / 1 Bath / 428 Sq. Ft. / Condo,Clinton
"25 Indian Road, Apt. 4H",2200,1 Bed / 1 Bath / Co-op,Inwood
"177 Avenue B, Apt. 4A",6000,4 Beds / 2 Baths / Rental,East Village
"158-18 Riverside Drive West, Apt. 2K",2950,"1 Bed / 1 Bath / 1,010 Sq. Ft. / Co-op",Washington Heights
"302 West 12th Street, Apt. 5D",5995,1 Bed / 1 Bath / Condo,West Village
"419 East 57th Street, Apt. MW",12500,"4 Beds / 3 Baths / 2,466 Sq. Ft. / Co-op",Sutton Area
"715 Park Avenue, Apt. 15A",5300,"1 Bed / 1 Bath / 1,000 Sq. Ft. / Condo",Upper East Side
"21 Astor Place, Apt. 6F",7500,"1 Bed / 1 Bath / 1,262 Sq. Ft. / Condo",Greenwich Village
"325 Fifth Avenue, Apt. 15A",6295,"2 Beds / 2 Baths / 1,176 Sq. Ft. / Condo",Murray Hill
"45 East 25th Street, Apt. 14B",4750,1 Bed / 1 Bath / 750 Sq. Ft. / Condo,Flatiron
"18 East 12th Street, Apt. 6D",7500,"1 Bed / 1 Bath / 1,277 Sq. Ft. / Condo",Greenwich Village
"38 Gramercy Park North, Apt. 4F",4000,1 Bed / 1 Bath / Co-op,Gramercy
"470 West 24th Street, Apt. 11F",2900,Studio / 1 Bath / Co-op,Chelsea/Hudson Yards
"470 West 24th Street, Apt. 11F",2900,Studio / 1 Bath / Co-op,Chelsea/Hudson Yards
"242 East 3rd Street, Apt. 8",3000,2 Beds / 1 Bath / Rental,East Village
"39 East 29th Street, Apt. 22D",6000,1 Bed / 1 Bath / 826 Sq. Ft. / Condo,Flatiron
"24 Fifth Avenue, Apt. 520",2950,Studio / 1 Bath / Co-op,Greenwich Village
"308 East 72nd Street, Apt. 19C",8200,2 Beds / 2 Baths / Condo,Upper East Side
"121 East 23rd Street, Apt. 12A",6500,2 Beds / 2 Baths / 981 Sq. Ft. / Condo,Gramercy
"209 East 88th Street, Apt. 2C",2450,1 Bed / 1 Bath / Co-op,Upper East Side
"40 Prince Street, Apt. 6C",6450,2 Beds / 2 Baths / Rental,Soho/Nolita
"372 Central Park West, Apt. 11T",2995,1 Bed / 1 Bath / 533 Sq. Ft. / Condo,Upper West Side
"225 East 21st Street, Apt. 2F",5500,"3 Units / 3 Floors / 1,200 Sq. Ft. / Townhouse",Gramercy
"5-7 Minetta Street, Apt. 3F",2360,Studio / 1 Bath / Rental,Greenwich Village
"225 East 21st Street, Apt. 2",5000,"3 Units / 3 Floors / 1,200 Sq. Ft. / Townhouse",Gramercy
"455 Main Street, Apt. 12A",3100,1 Bed / 1 Bath / 737 Sq. Ft. / Condo,Roosevelt Island
"317 West 54th Street, Apt. 1F",2995,1 Bed / 1 Bath / 720 Sq. Ft. / Co-op,Midtown West
"115 Lexington Avenue, Apt. 6C",2500,1 Bed / 1 Bath / Rental,Murray Hill
"222 East 75th Street, Apt. 1C",2750,1 Bed / 1 Bath / Rental,Upper East Side
"360 West 22nd Street, Apt. 5D",4000,1 Bed / 1 Bath / Co-op,Chelsea/Hudson Yards
"520 West 23rd Street, Apt. 7E",3600,1 Bed / 1 Bath / 587 Sq. Ft. / Condo/Co-op,Chelsea/Hudson Yards
"65 West 13th Street, Apt. 9E",9995,"1 Bed / 2 Baths / 1,525 Sq. Ft. / Condo",Greenwich Village
"105 Duane Street, Apt. 48G",5925,1 Bed / 1 Bath / Rental,Tribeca
"2 South End Avenue, Apt. 9G",7995,"3 Beds / 2 Baths / 1,281 Sq. Ft. / Condo",Battery Park City
"21-23 South William Street, Apt. 5D",3500,1 Bed / 1 Bath / Condo,Financial District
"139 Waverly Place, Apt. 3C",2325,11 Units / 3 Floors / Multi-Family Townhouse,Greenwich Village
"325 Lexington Avenue, Apt. 22C",6995,"2 Beds / 2 Baths / 1,138 Sq. Ft. / Condo",Murray Hill
"509 East 77th Street, Apt. 1N",2800,1 Bed / 1 Bath / Co-op,Upper East Side
"1575 Third Avenue, Apt. 3D",1895,Studio / 1 Bath / Rental,Upper East Side
"228 East 81st Street, Apt. 6B",2895,1 Bed / 1 Bath / Rental,Upper East Side
"56 Perry Street, Apt. 5RW",2995,1 Bed / 1 Bath / Rental,West Village
"140 Seventh Avenue, Apt. 6E",4400,2 Beds / 1 Bath / Condo,Chelsea/Hudson Yards
"330 East 75th Street, Apt. 9J",3600,1 Bed / 1 Bath / 725 Sq. Ft. / Condo,Upper East Side
"230 East 11th Street, Apt. 2",14000,"4 Beds / 2 Baths / 2,829 Sq. Ft. / Rental",East Village
"43 West 64th Street, Apt. 3B",8700,"1 Bed / 2 Baths / 1,688 Sq. Ft. / Condo",Upper West Side
"421 Hudson Street, Apt. 404",15000,"2 Beds / 2 Baths / 1,900 Sq. Ft. / Condo",West Village
"486 Broadway, Apt. PH",13500,"2 Beds / 2 Baths / 2,196 Sq. Ft. / Rental",Soho/Nolita
"364 West 116th Street, Apt. 3B",2337,2 Beds / 1 Bath / Rental,Morningside Heights
"212 West 16th Street, Apt. 1W",2395,Multi-Family Townhouse,Chelsea/Hudson Yards
"355 East 4th Street, Apt. 5A",3400,3 Beds / 1 Bath / Rental,East Village
"107 West 82nd Street, Apt. 1B",4000,1 Bed / 1 Bath / 750 Sq. Ft. / Co-op,Upper West Side
"51 Bank Street, Apt. 21",3995,2 Beds / 1 Bath / Rental,West Village
