"45-02 Ditmars Boulevard, Apt. 322",3300,"2 Beds / 2 Baths / 1,251 Sq. Ft. / Condo",Astoria,Queens
"31-70 34th Street, Apt. 3D",2195,1 Bed / 1 Bath / Rental,Astoria,Queens
"25-20 42nd Street, Apt. 5B",1850,1 Bed / 1 Bath / Rental,Astoria,Queens
"3094 Crescent Street, Apt. 2E",2550,1 Bed / 1 Bath / Condo,Astoria,Queens
"32-02 34th Avenue, Apt. 2C",1875,1 Bed / 1 Bath / Rental,Astoria,Queens
"21-17 31st Avenue, Apt. 1C",2500,1 Bed / 1 Bath / Condo,Astoria,Queens
"19-19 24th Avenue, Apt. L402",2095,1 Bed / 1 Bath / 847 Sq. Ft. / Co-op,Astoria,Queens
"30-01 Newtown Avenue, Apt. 4F",2350,8 Units / 4 Floors / Multi-Family Townhouse,Astoria,Queens
"47-50 59th Street, Apt. 1-D",1750,1 Bed / 1 Bath / Rental,Woodside,Queens
"30-86 32nd Street, Apt. 6",1875,1 Bed / 1 Bath / Rental,Astoria,Queens
"32-06 Astoria Boulevard South, Ap...",2200,Studio / 1 Bath / Condo,Astoria,Queens
"19-19 24th Avenue, Apt. R302",2195,1 Bed / 1 Bath / Co-op,Astoria,Queens
"30-25 21st Street, Apt. 5C",2650,1 Bed / 1 Bath / 700 Sq. Ft. / Condo,Astoria,Queens
"23-25 31st Avenue, Apt. 5D",3600,2 Beds / 2 Baths / Condo,Astoria,Queens
"4-75 48th Avenue, Apt. 423",3300,1 Bed / 1 Bath / Rental,Long Island City,Queens
"42-08 Union Street, Apt. 3",2900,3 Beds / 3 Baths / Rental,Flushing,Queens
"42-08 Union Street, Apt. 2",2300,2 Beds / 2 Baths / Rental,Flushing,Queens
"18-11 Cornelia Street, Apt. 1L",2307,2 Beds / 1 Bath / Rental,Ridgewood,Queens
"17-07 Gates Avenue, Apt. 1R",2250,6 Units / 3 Floors / Multi-Family Townhouse,Ridgewood,Queens
"25-41 30th Road, Apt. 2B",1800,1 Bed / 1 Bath / Rental,Long Island City,Queens
"47-30 59th Street, Apt. 5C",2159,2 Beds / 1 Bath / Rental,Woodside,Queens
"31-50 33rd Street, Apt. 7A",2595,2 Beds / 1 Bath / Rental,Astoria,Queens
"45-02 Ditmars Boulevard, Apt. 427",2350,1 Bed / 1 Bath / 936 Sq. Ft. / Condo,Astoria,Queens
"4-74 48th Avenue, Apt. 29A",4875,"2 Beds / 1 Bath / 1,050 Sq. Ft. / Condo/Co-op",Long Island City,Queens
"24-15 Queens Plaza North, Apt. 9B",3000,1 Bed / 1 Bath / 700 Sq. Ft. / Condo,Long Island City,Queens
"19-19 24th Avenue, Apt. R116",2250,1 Bed / 1 Bath / 717 Sq. Ft. / Co-op,Astoria,Queens
"45-02 Ditmars Boulevard, Apt. 530",2550,1 Bed / 1 Bath / 796 Sq. Ft. / Condo,Astoria,Queens
"26-80 30th Street, Apt. 6N",1995,1 Bed / 1 Bath / Rental,Astoria,Queens
"34-06 32nd Street, Apt. 6C",2550,2 Beds / 1 Bath / Rental,Astoria,Queens
"62-72 81st Street, Apt. 2",2200,2 Beds / 1 Bath / Rental,Middle Village,Queens
"25-90 35th Street, Apt. 3L",1995,1 Bed / 1 Bath / Rental,Astoria,Queens
"11-51 47th Avenue, Apt. 10d",6000,3 Beds / 2 Baths / Condo,Long Island City,Queens
"3094 Crescent Street, Apt. 6D",2450,1 Bed / 1 Bath / 641 Sq. Ft. / Condo,Astoria,Queens
"67-14 73rd Place, Apt. 2",2399,3 Units / 3 Floors / Multi-Family Townhouse,Middle Village,Queens
"44-27 Purves Street, Apt. 8D",2950,1 Bed / 1 Bath / Condo,Long Island City,Queens
"1708 Woodbine Street, Apt. 1R",2063,6 Units / 3 Floors / Multi-Family Townhouse,Ridgewood,Queens
"60-64 68th Avenue, Apt. 2",2595,2 Units / 2 Floors / Multi-Family Townhouse,Ridgewood,Queens
"31-70 34th Street, Apt. 4-B",2100,1 Bed / 1 Bath / Rental,Astoria,Queens
"13-33 Jackson Avenue, Apt. 10D",6500,3 Beds / 2 Baths / Condo,Long Island City,Queens
"41-13 31st Avenue, Apt. 2",2750,2 Units / 3 Floors / Multi-Family Townhouse,Astoria,Queens
"45-02 Ditmars Boulevard, Apt. 209",2995,"2 Beds / 2 Baths / 1,169 Sq. Ft. / Condo",Astoria,Queens
"21-05 33rd Street, Apt. 5D",2300,2 Beds / 1 Bath / Condo/Co-op,Astoria,Queens
"69-03 173rd Street, Apt. 2",1800,3 Units / 2 Floors / House,Fresh Meadows,Queens
"4516 Center Boulevard, Apt. 3601",3200,1 Bed / 1 Bath / Rental,Long Island City,Queens
"50-01 Metropolitan Avenue, Apt. 201",2400,26 Units / 4 Floors / 880 Sq. Ft. / Townhouse,Ridgewood,Queens
"175-25 74th Avenue, Apt. A",3200,"2 Floors / 1,400 Sq. Ft. / Multi-Family Townhouse",Fresh Meadows,Queens
"175-25 74th Avenue, Apt. B",2500,2 Floors / 880 Sq. Ft. / Multi-Family Townhouse,Fresh Meadows,Queens
"50-01 Metropolitan Avenue, Apt. 2",3800,"26 Units / 4 Floors / 1,950 Sq. Ft. / Townhouse",Ridgewood,Queens
"50-01 Metropolitan Avenue, Apt. 306",2150,26 Units / 4 Floors / 905 Sq. Ft. / Townhouse,Ridgewood,Queens
"21-25 44th Ave, Apt. 404-1",2500,4 Floors / 400 Sq. Ft. / Townhouse,Long Island City,Queens
"11-11 44th Road, Apt. 304",3100,4 Floors / 700 Sq. Ft. / Townhouse,Long Island City,Queens
"4545 Center Boulevard, Apt. 508",2900,1 Bed / 1 Bath / Rental,Long Island City,Queens
81st Street,2015,1 Bed / 1 Bath / Rental,Jackson Heights,Queens
"41-06 52nd Street, Apt. 3-C",1750,1 Bed / 1 Bath / Rental,Woodside,Queens
49th Avenue,5700,"2 Beds / 2 Baths / 1,389 Sq. Ft. / Condo",Long Island City,Queens
21st Avenue,1900,1 Bed / 1 Bath / 650 Sq. Ft. / Rental,Astoria,Queens
Center Boulevard,7300,"3 Beds / 3 Baths / 1,653 Sq. Ft. / Condo",Long Island City,Queens
37th Street,1900,1 Bed / 1 Bath / Rental,Astoria,Queens
"31-43 Vernon Boulevard, Apt. 609",2979,1 Bed / 1 Bath / 720 Sq. Ft. / Rental,Astoria,Queens
"30-16 34th Street, Apt. 3A",3000,"4 Beds / 1 Bath / 1,000 Sq. Ft. / House",Astoria,Queens
"28-25 33rd Street, Apt. B-8",1800,1 Bed / 1 Bath / 700 Sq. Ft. / Rental,Astoria,Queens
50th Avenue,7000,"2 Beds / 2 Baths / 1,596 Sq. Ft. / Condo",Long Island City,Queens
"44-72 11th Street, Apt. A-505",3195,1 Bed / 1 Bath / Rental,Long Island City,Queens
"43-09 47th Avenue, Apt. 1M",2703,2 Beds / 1 Bath / Rental,Sunnyside,Queens
"32-65 45th Street, Apt. 3",2200,2 Beds / 1 Bath / 800 Sq. Ft. / House,Astoria,Queens
"42-12 28th Street, Apt. 55-A",5000,2 Beds / 2 Baths / 950 Sq. Ft. / Rental,Long Island City,Queens
"23-01 42nd Road, Apt. 38-K",3850,1 Bed / 1 Bath / Rental,Long Island City,Queens
"37-02 31st Avenue, Apt. 1R",2100,1 Bed / 1 Bath / Rental,Astoria,Queens
"30-89 38th Street, Apt. 1-W",2850,1 Bed / 1 Bath / 750 Sq. Ft. / Rental,Astoria,Queens
"30-74 32nd Street, Apt. 23",1700,1 Bed / 1 Bath / 650 Sq. Ft. / Rental,Astoria,Queens
"48-15 11th Street, Apt. 4E",4875,"2 Beds / 2 Baths / 1,313 Sq. Ft. / Condo",Long Island City,Queens
"37-14 36th Street, Apt. 8F",2284,Studio / 1 Bath / Rental,Astoria,Queens
"41-26 27th Street, Apt. 2B",2400,Studio / 1 Bath / 505 Sq. Ft. / Condo,Long Island City,Queens
"28-30 Jackson Avenue, Apt. 18-C",3441,1 Bed / 1 Bath / Rental,Long Island City,Queens
"29-11 Queens Plaza North, Apt. D-128",2769,1 Bed / 1 Bath / Rental,Long Island City,Queens
"40-21 60th Street, Apt. 1",1750,1 Bed / 1 Bath / Rental,Woodside,Queens
"28-40 Jackson Avenue, Apt. 28-D",3918,1 Bed / 1 Bath / Rental,Long Island City,Queens
"31-43 Vernon Boulevard, Apt. 614",3002,1 Bed / 1 Bath / Rental,Astoria,Queens
"12-10 31ST Drive, Apt. 2",3800,"3 Beds / 1 Bath / 1,000 Sq. Ft. / Rental",Astoria,Queens
"30-11 34th Street, Apt. 4-E",1900,1 Bed / 1 Bath / 700 Sq. Ft. / Rental,Astoria,Queens
"28-05 42nd Street, Apt. 3-R",1875,1 Bed / 1 Bath / 850 Sq. Ft. / Rental,Astoria,Queens
"22-16 47th Street, Apt. 1",1750,1 Bed / 1 Bath / House,Astoria,Queens
"26-14 Jackson Avenue, Apt. 10C",2385,Studio / 1 Bath / Rental,Long Island City,Queens
"12-02 Astoria Boulevard, Apt. 2A",2450,1 Bed / 1 Bath / Rental,Astoria,Queens
"30-11 34th Street, Apt. 5-E",2400,"2 Beds / 1 Bath / 1,200 Sq. Ft. / Rental",Astoria,Queens
"46-09 11th Street, Apt. 5B",3050,1 Bed / 1 Bath / Rental,Long Island City,Queens
"23-22 30th Road, Apt. 12",2125,Studio / 1 Bath / 400 Sq. Ft. / Condo,Astoria,Queens
"25-27 18th Street, Apt. 2B",2250,1 Bed / 1 Bath / Rental,Astoria,Queens
"26-22 18th Street, Apt. 3R",2200,2 Beds / 1 Bath / Rental,Astoria,Queens
"44-27 Purves Street, Apt. 6E",2600,Studio / 1 Bath / 550 Sq. Ft. / Condo,Long Island City,Queens
"40-21 60th Street, Apt. 2",2650,3 Beds / 2 Baths / Rental,Woodside,Queens
"62-59 108th Street, Apt. 2-N",2200,"2 Beds / 1 Bath / 1,000 Sq. Ft. / Co-op",Forest Hills,Queens
"28-10 Jackson Avenue, Apt. 34-T",3360,1 Bed / 1 Bath / Rental,Long Island City,Queens
"22-16 47th Street, Apt. 3",2450,"2 Beds / 1 Bath / 1,100 Sq. Ft. / House",Astoria,Queens
Gothic Drive,2850,3 Beds / 1 Bath / Rental,Jamaica,Queens
"22-46 31st Street, Apt. 3C",1800,1 Bed / 1 Bath / Rental,Astoria,Queens
"41-40 40TH Street, Apt. A5",2500,2 Beds / 1 Bath / Rental,Sunnyside,Queens
"29-06 21st Avenue, Apt. 1J",2400,2 Beds / 1 Bath / 750 Sq. Ft. / Rental,Astoria,Queens
"22-73 41st Street, Apt. 13",2062,1 Bed / 1 Bath / Rental,Astoria,Queens
"28-30 Jackson Avenue, Apt. 20-D",4949,2 Beds / 2 Baths / Rental,Long Island City,Queens
"30-79 32nd Street, Apt. 4B",2300,1 Bed / 1 Bath / 650 Sq. Ft. / Condo,Astoria,Queens
"29-06 21st Avenue, Apt. 1i",2100,2 Beds / 1 Bath / 680 Sq. Ft. / Rental,Astoria,Queens
"29-10 Broadway, Apt. 5D",3999,2 Beds / 2 Baths / 840 Sq. Ft. / Rental,Astoria,Queens
"109-33 71st Road, Apt. 8-H",1650,Studio / 1 Bath / Condo,Forest Hills,Queens
"2323 31st Avenue, Apt. 2-M",2125,Studio / 1 Bath / 400 Sq. Ft. / Condo,Astoria,Queens
"26-25 28th Street, Apt. 1D",2725,1 Bed / 1 Bath / 665 Sq. Ft. / Rental,Astoria,Queens
Crescent Street,3941,2 Beds / 2 Baths / 925 Sq. Ft. / Condo,Astoria,Queens
"11-15 Broadway, Apt. 4-H",2995,1 Bed / 1 Bath / 760 Sq. Ft. / Rental,Astoria,Queens
"30-50 21st Street, Apt. 5-C",2755,1 Bed / 1 Bath / Rental,Astoria,Queens
"28-30 Jackson Avenue, Apt. 6-F",2959,Studio / 1 Bath / Rental,Long Island City,Queens
"109-33 71st Road, Apt. 3-E",1750,Studio / 1 Bath / Condo,Forest Hills,Queens
"26-25 28th Street, Apt. 1C",2315,Studio / 1 Bath / 500 Sq. Ft. / Rental,Astoria,Queens
"21-16 35th Street, Apt. 3-B",2400,2 Beds / 1 Bath / Condo/Co-op,Astoria,Queens
"4545 Center Boulevard, Apt. 303",2695,Studio / 1 Bath / 535 Sq. Ft. / Rental,Long Island City,Queens
"105-21 66th Avenue, Apt. 5D",2400,2 Beds / 1 Bath / Co-op,Forest Hills,Queens
"43-23 40th Street, Apt. 5J",2150,1 Bed / 1 Bath / Rental,Sunnyside,Queens
Gothic Drive,3200,4 Beds / 2 Baths / Rental,Jamaica,Queens
"30-44 32nd Street, Apt. A-2",2613,2 Beds / 1 Bath / 700 Sq. Ft. / Rental,Astoria,Queens
"41-22 24th Street, Apt. 7H",2447,Studio / 1 Bath / Rental,Long Island City,Queens
"28-30 Jackson Avenue, Apt. 15-D",4771,2 Beds / 2 Baths / Rental,Long Island City,Queens
"34-04 34th Avenue, Apt. B-11",3575,3 Beds / 1 Bath,Astoria,Queens
"34-04 34th Avenue, Apt. A-33",2567,2 Beds / 1 Bath,Astoria,Queens
"31-57 31st Street, Apt. 209",4395,2 Beds / 2 Baths / Rental,Astoria,Queens
"48-19 Vernon Boulevard, Apt. 2B",2500,1 Bed / 1 Bath / Rental,Long Island City,Queens
35th Street,2200,1 Bed / 1 Bath / Rental,Astoria,Queens
"35-24 78th Street, Apt. B64",2750,"2 Beds / 1 Bath / 1,200 Sq. Ft. / Co-op",Jackson Heights,Queens
"29-10 Broadway, Apt. 5-D6",3999,2 Beds / 2 Baths / Rental,Astoria,Queens
"28-30 Jackson Avenue, Apt. 10-H",3340,1 Bed / 1 Bath / Rental,Long Island City,Queens
"58-19 60th Place, Apt. 2",2100,1 Bed / 2 Baths / House,Woodside,Queens
"42-51 Hunter Street, Apt. 2D",4500,"2 Beds / 2 Baths / 1,210 Sq. Ft. / Condo",Long Island City,Queens
"4610 Center Boulevard, Apt. 2404",2600,Studio / 1 Bath / Rental,Long Island City,Queens
"40-28 College Pt Boulevard, Apt. 915",2700,"1 Bed / 1 Bath / 1,136 Sq. Ft. / Condo/Co-op",Flushing,Queens
"21-57 33rd Street, Apt. 5-H",2195,2 Beds / 1 Bath / Co-op,Astoria,Queens
"43-25 Hunter Street, Apt. PH-34E",2923,1 Bed / 1 Bath / Rental,Long Island City,Queens
"28-10 Jackson Avenue, Apt. 14-T",3470,1 Bed / 1 Bath / Rental,Long Island City,Queens
Dalny Road,1695,Studio / 1 Bath / Rental,Jamaica,Queens
"38-53 12th Street, Apt. 2",2750,2 Beds / 2 Baths / 875 Sq. Ft. / Rental,Long Island City,Queens
"41-18 Crescent Street, Apt. 10-J",3575,2 Beds / 1 Bath / Rental,Long Island City,Queens
"44-28 Purves Street, Apt. 5-J",2755,Studio / 1 Bath / Rental,Long Island City,Queens
"40-26 College Pt Boulevard, Apt. 10A",2300,"1 Bed / 1 Bath / 1,029 Sq. Ft. / Condo/Co-op",Flushing,Queens
"41-18 Crescent Street, Apt. 9-J",3575,2 Beds / 1 Bath / Rental,Long Island City,Queens
"47-37 45th Street, Apt. 5K",1790,1 Bed / 1 Bath / 670 Sq. Ft. / Co-op,Woodside,Queens
47TH Road,4200,"2 Beds / 1 Bath / 1,200 Sq. Ft. / Condo/Co-op",Long Island City,Queens
"29-06 21st Avenue, Apt. 4H",1900,1 Bed / 1 Bath / 650 Sq. Ft. / Rental,Astoria,Queens
73rd Street,2295,1 Bed / 1 Bath / Co-op,Jackson Heights,Queens
31st Avenue,4200,"3 Beds / 2 Baths / 2,000 Sq. Ft. / Rental",Astoria,Queens
"1715 Bleecker Street, Apt. 1-R",2100,2 Beds / 1 Bath / Rental,Ridgewood,Queens
"31-57 31st Street, Apt. PHJ",4499,2 Beds / 2 Baths / Rental,Astoria,Queens
"46-30 Center Boulevard, Apt. PH3",6250,"2 Beds / 3 Baths / 1,499 Sq. Ft. / Condo",Long Island City,Queens
47TH Road,4200,"2 Beds / 1 Bath / 1,200 Sq. Ft. / Condo/Co-op",Long Island City,Queens
33rd Street,2600,1 Bed / 1 Bath / 510 Sq. Ft. / Condo,Astoria,Queens
"46-09 11th Street, Apt. 6D",4140,2 Beds / 2 Baths / Rental,Long Island City,Queens
"31-14 35th Street, Apt. 4A",1900,1 Bed / 1 Bath / Rental,Astoria,Queens
"29-08 31st Avenue, Apt. E-14",3100,3 Beds / 1 Bath / Rental,Astoria,Queens
"112-01 Queens Boulevard, Apt. 9G",3900,"2 Beds / 2 Baths / 1,175 Sq. Ft. / Condo",Forest Hills,Queens
"37-14 36th Street, Apt. 11D",4085,2 Beds / 2 Baths / Rental,Astoria,Queens
"11-15 Broadway, Apt. 5-K",2410,1 Bed / 1 Bath / Rental,Astoria,Queens
"41-58 74th Street, Apt. 1",1700,1 Bed / 1 Bath / 550 Sq. Ft. / Rental,Jackson Heights,Queens
"31-57 31st Street, Apt. 6211",2425,Studio / 1 Bath / Rental,Astoria,Queens
