"195 Stanhope Street, Apt. 3F",2000,1 Bed / 1 Bath / Rental,Bushwick,Brooklyn
"1 Rockwell Place, Apt. 4F",3750,2 Beds / 1 Bath / Condo,Fort Greene,Brooklyn
"487 Classon Avenue, Apt. 4A",2400,Multi-Family Townhouse,Clinton Hill,Brooklyn
"22 North 6th Street, Apt. 3L",5495,2 Beds / 2 Baths / Condo,Williamsburg,Brooklyn
"580 Gates Avenue, Apt. 2",2395,2 Beds / 1 Bath / Rental,Bedford-Stuyvesant,Brooklyn
"223 Pulaski Street, Apt. 4A",2295,1 Bed / 1 Bath / Condo,Bedford-Stuyvesant,Brooklyn
"101 Norman Avenue, Apt. 3",4700,3 Floors / Multi-Family Townhouse,Greenpoint,Brooklyn
"756 Myrtle Avenue, Apt. 2M",2900,2 Beds / 2 Baths / Rental,Clinton Hill,Brooklyn
"329A 18th Street, Apt. 3",3700,2 Beds / 2 Baths / Condo,Park Slope,Brooklyn
"234 Union Avenue, Apt. 3",2400,1 Bed / 1 Bath / 650 Sq. Ft. / Rental,Williamsburg,Brooklyn
"756 Myrtle Avenue, Apt. 3L",2900,2 Beds / 2 Baths / Rental,Clinton Hill,Brooklyn
"298 Weirfield Street, Apt. 2",2750,Multi-Family Townhouse,Bushwick,Brooklyn
"233 Pacific Street, Apt. 4C",6300,"2 Beds / 2 Baths / 1,341 Sq. Ft. / Condo",Boerum Hill,Brooklyn
"124 Malcolm X Boulevard, Apt. 2",4000,"2 Units / 3 Floors / 1,700 Sq. Ft. / Multi-Family Townhouse",Bedford-Stuyvesant,Brooklyn
"1328 Fulton Street, Apt. P106",3619,"2 Beds / 2 Baths / 1,008 Sq. Ft. / Rental",Bedford-Stuyvesant,Brooklyn
"1328 Fulton Street, Apt. 804",3591,"2 Beds / 2 Baths / 1,022 Sq. Ft. / Rental",Bedford-Stuyvesant,Brooklyn
"333 Atlantic Avenue, Apt. 3D",4150,2 Beds / 1 Bath / Rental,Boerum Hill,Brooklyn
"286 Saint Johns Place, Apt. 1R",4000,3 Beds / 1 Bath / Condo,Prospect Heights,Brooklyn
"1328 Fulton Street, Apt. P205",3594,"2 Beds / 2 Baths / 1,001 Sq. Ft. / Rental",Bedford-Stuyvesant,Brooklyn
"1328 Fulton Street, Apt. P201",4352,"2 Beds / 2 Baths / 1,187 Sq. Ft. / Rental",Bedford-Stuyvesant,Brooklyn
