1062 Union Street,1495000,2 Floors / House,Crown Heights
4103 Avenue S,900000,"3 Beds / 2 Baths / 1,184 Sq. Ft. / House",Marine Park
"60 Pineapple Street, Apt. 7C",1225000,"2 Beds / 1 Bath / 1,200 Sq. Ft. / Co-op",Brooklyn Heights
"790 Saint Johns Place, Apt. 1B",849000,2 Beds / 2 Baths / 862 Sq. Ft. / Condo,Crown Heights
"360 Furman Street, Apt. 512",1175000,"1 Bed / 1 Bath / 1,103 Sq. Ft. / Condo",Brooklyn Heights
"175 Adams Street, Apt. 4A",749000,2 Beds / 1 Bath / 834 Sq. Ft. / Co-op,Brooklyn Heights
"85 Livingston Street, Apt. 9H",509000,Studio / 1 Bath / Co-op,Downtown Brooklyn
"289 Devoe Street, Apt. 1",1450000,"2 Beds / 2 Baths / 1,658 Sq. Ft. / Condo",Williamsburg
"401 8th Avenue, Apt. 35",1395000,4 Beds / 2 Baths / Co-op,Park Slope
212 Lefferts Avenue,1650000,"2 Units / 2 Floors / 3,216 Sq. Ft. / Multi-Family Townhouse",Lefferts Gardens
1660 West 3rd Street,818000,"3 Beds / 1 Bath / 1,428 Sq. Ft. / House",Gravesend
"1089 Dekalb Avenue, Apt. 3",745000,2 Beds / 2 Baths / Condo,Bedford-Stuyvesant
"116 Conselyea Street, Apt. 3B",765000,1 Bed / 1 Bath / 611 Sq. Ft. / Condo,Williamsburg
"813 Jefferson Avenue, Apt. 3B",599000,1 Bed / 1 Bath / Condo,Bedford-Stuyvesant
"162 S Portland Avenue, Apt. 1",1849000,2 Beds / 1 Bath / Condo,Fort Greene
226 East 7th Street,1600000,"2 Units / 2 Floors / 2,659 Sq. Ft. / Multi-Family Townhouse",Windsor Terrace
649 East 24th Street,2695000,5 Beds / 4 Baths / House,Ditmas Park
2336 Dean Street,1195000,Multi-Family Townhouse,empty neighborhood
"280 Ocean Parkway, Apt. 4V",399000,1 Bed / 1 Bath / Co-op,Kensington
"475 Sterling Place, Apt. 5G",1249000,"2 Beds / 2 Baths / 1,104 Sq. Ft. / Condo",Crown Heights
162 Lefferts Avenue,1600000,2 Units / 2 Floors / Multi-Family Townhouse,Lefferts Gardens
"54 Orange Street, Apt. 3G",660000,1 Bed / 1 Bath / Co-op,Brooklyn Heights
200 11th Street,1750000,"3 Floors / 2,000 Sq. Ft. / House",Gowanus
"476 Washington Avenue, Apt. B",1450000,"2 Beds / 2 Baths / 1,166 Sq. Ft. / Condo",Clinton Hill
"476 Washington Avenue, Apt. B",1450000,"2 Beds / 2 Baths / 1,166 Sq. Ft. / Condo",Clinton Hill
47 Chauncey Street,1599000,"2 Floors / 2,090 Sq. Ft. / Single Family Townhouse",Bedford-Stuyvesant
"19 Grace Court, Apt. 2A",2495000,5 Beds / 2 Baths / Co-op,Brooklyn Heights
"187 Gates Avenue, Apt. 2",799000,2 Beds / 2 Baths / 701 Sq. Ft. / Condo,Clinton Hill
"187 Gates Avenue, Apt. 1",1495000,"2 Beds / 2 Baths / 2,172 Sq. Ft. / Condo",Clinton Hill
170 Stratford Road,2495000,"3 Floors / 3,908 Sq. Ft. / House",Prospect Park South
"108 India Street, Apt. 3",2495000,"3 Beds / 2 Baths / 1,978 Sq. Ft. / Condo",Greenpoint
"745 East 31st Street, Apt. 6D",389000,2 Beds / 1 Bath / Co-op,Flatbush
"443 Bergen Street, Apt. PH",2799000,"3 Beds / 2 Baths / 1,870 Sq. Ft. / Condo",Park Slope
"265 State Street, Apt. 1002",2675000,"3 Beds / 2 Baths / 1,705 Sq. Ft. / Condo",Boerum Hill
"159 Tompkins Avenue, Apt. 1B",1549000,"2 Beds / 2 Baths / 1,936 Sq. Ft. / Condo",Bedford-Stuyvesant
"96 Luquer Street, Apt. 3-4L",925000,2 Beds / 1 Bath / Co-op,Carroll Gardens
"101 Warren Street, Apt. A2A",995000,"1 Bed / 2 Baths / 1,115 Sq. Ft. / Condo",Cobble Hill
"336 St Marks Avenue, Apt. 1B",875000,"1 Bed / 1 Bath / 1,185 Sq. Ft. / Condo",Prospect Heights
"1065 Vermont Street, Apt. 8D",400000,"3 Beds / 1 Bath / 1,186 Sq. Ft. / Condo",empty neighborhood
789 Bushwick Avenue,1995000,"2 Units / 3 Floors / 2,813 Sq. Ft. / Multi-Family Townhouse",Bushwick
69 Somers Street,799000,3 Floors / Single Family Townhouse,Bedford-Stuyvesant
411 Kent Avenue,5300000,"2 Floors / 3,322 Sq. Ft. / Townhouse",Williamsburg
569 Humboldt Street,1699000,"2 Floors / 1,400 Sq. Ft. / House",Greenpoint
"440 Kent Avenue, Apt. 22C",2300000,"2 Beds / 2 Baths / 1,780 Sq. Ft. / Condo",Williamsburg
"514 1125 Lorimer Street, 3H",2300000,"2 Units / 2 Floors / 1,361 Sq. Ft. / Mixed Use Townhouse",Williamsburg
514 Grand Street,2300000,"2 Units / 2 Floors / 1,360 Sq. Ft. / Mixed Use Townhouse",Williamsburg
