Address,Price,Description,Neighborhood,Boro
"25 West 94th Street, Apt. 2",13000,7 Units / 3 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
"208 East 87th Street, Apt. 5E",2178,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
"250 East 54th Street, Apt. 28C",4700,1 Bed / 1 Bath / Condo,Midtown East,Manhattan
"228 East 81st Street, Apt. 1D",1995,Studio / 1 Bath / Rental,Upper East Side,Manhattan
"540 West 28th Street, Apt. 12B",5500,2 Beds / 2 Baths / Condo,Chelsea/Hudson Yards,Manhattan
"381 Broome Street, Apt. 2F",5000,1 Bed / 1 Bath / Condo,Soho/Nolita,Manhattan
"77 East 12th Street, Apt. 15A",3000,Studio / 1 Bath / Co-op,Greenwich Village,Manhattan
"450 West 17th Street, Apt. 1710",5800,1 Bed / 1 Bath / Condo,Chelsea/Hudson Yards,Manhattan
"2279 Third Avenue, Apt. 4B",2500,1 Bed / 1 Bath / 745 Sq. Ft. / Condo,East Harlem,Manhattan
"200 West 107th Street, Apt. 3B",4500,3 Beds / 2 Baths / Rental,Upper West Side,Manhattan
"212 West 15th Street, Apt. 3-4",15000,4 Units / 4 Floors / Multi-Family Townhouse,Chelsea/Hudson Yards,Manhattan
"393 West 49th Street, Apt. 2KK",2600,Studio / 1 Bath / 428 Sq. Ft. / Condo,Clinton,Manhattan
"25 Indian Road, Apt. 4H",2200,1 Bed / 1 Bath / Co-op,Inwood,Manhattan
"177 Avenue B, Apt. 4A",6000,4 Beds / 2 Baths / Rental,East Village,Manhattan
"158-18 Riverside Drive West, Apt. 2K",2950,"1 Bed / 1 Bath / 1,010 Sq. Ft. / Co-op",Washington Heights,Manhattan
"302 West 12th Street, Apt. 5D",5995,1 Bed / 1 Bath / Condo,West Village,Manhattan
"419 East 57th Street, Apt. MW",12500,"4 Beds / 3 Baths / 2,466 Sq. Ft. / Co-op",Sutton Area,Manhattan
"715 Park Avenue, Apt. 15A",5300,"1 Bed / 1 Bath / 1,000 Sq. Ft. / Condo",Upper East Side,Manhattan
"21 Astor Place, Apt. 6F",7500,"1 Bed / 1 Bath / 1,262 Sq. Ft. / Condo",Greenwich Village,Manhattan
"325 Fifth Avenue, Apt. 15A",6295,"2 Beds / 2 Baths / 1,176 Sq. Ft. / Condo",Murray Hill,Manhattan
"45 East 25th Street, Apt. 14B",4750,1 Bed / 1 Bath / 750 Sq. Ft. / Condo,Flatiron,Manhattan
"18 East 12th Street, Apt. 6D",7500,"1 Bed / 1 Bath / 1,277 Sq. Ft. / Condo",Greenwich Village,Manhattan
"38 Gramercy Park North, Apt. 4F",4000,1 Bed / 1 Bath / Co-op,Gramercy,Manhattan
"470 West 24th Street, Apt. 11F",2900,Studio / 1 Bath / Co-op,Chelsea/Hudson Yards,Manhattan
