Address,Price,Rental_type,Beds_baths,Sqfeet,Boro
"The Pencil Factory, 113 Franklin Street, RETAILAB - Greenpoint, New York",33500,Commercial,| 2 Baths,"Approximate Sq. Feet: 3,482",Brooklyn
"348 13th Street, STE103 - Park Slope, New York",18000,Rental,Studio | 3 Baths,"Approximate Sq. Feet: 5,300",Brooklyn
"526 Carlton Avenue - Prospect Heights, New York",15000,Single Family Townhouse,5 Beds | 4 Baths,"Approximate Sq. Feet: 3,600",Brooklyn
"Pacific Street - Boerum Hill, New York",13000,"Condo, Doorman",3 Beds | 2 Baths,"Approximate Sq. Feet: 1,546",Brooklyn
"382 Degraw Street - Carroll Gardens, New York",12750,Single Family Townhouse,5 Beds | 3 Baths | 1 Half Bath,"Approximate Sq. Feet: 3,200",Brooklyn
"1375 Dean Street, B - Crown Heights, New York",10500,Single Family Townhouse,5 Beds | 3 Baths,"Approximate Sq. Feet: 2,033",Brooklyn
"203A Windsor Pl - Windsor Terrace, New York",9500,Single Family Townhouse,3 Beds | 2 Baths,"Approximate Sq. Feet: 2,724",Brooklyn
"Berry Street - Williamsburg, New York",9495,Multi-Family,6 Beds | 4 Baths,Listing ID: 3710416,Brooklyn
"691-697 Washington Avenue, 1 - Prospect Heights, New York",9000,Commercial,| 3 Baths,"Approximate Sq. Feet: 1,716",Brooklyn
"19 Greenpoint Avenue, 1 - Greenpoint, New York",8750,Commercial,| 1 Bath,Approximate Sq. Feet: 850 | Approximate Exterior Sq. Ft: 1050,Brooklyn
"New York Avenue - Crown Heights, New York",8450,Rental,5 Beds | 5 Baths,Listing ID: 3814124,Brooklyn
"438 7th Street, 2 - Park Slope, New York",8400,Rental,4 Beds | 2 Baths,Listing ID: 3825622,Brooklyn
"115A King Street - Red Hook, New York",8250,Single Family Townhouse,4 Beds | 3 Baths,"Approximate Sq. Feet: 2,722",Brooklyn
"1 Blue Slip, 9H - Greenpoint, New York",8087,Rental,2 Beds | 2 Baths,Listing ID: 3451256,Brooklyn
