"56 Leonard Street, PH56 - TriBeCa, New York",256000,"Condo, Doorman",6 Beds | 4 Baths | 1 Half Bath,"Approximate Sq. Feet: 6,000 | Approximate Exterior Sq. Ft: 541"
"56 Leonard Street, PH56FURN - TriBeCa, New York",156000,"Condo, Doorman",6 Beds | 4 Baths | 1 Half Bath,"Approximate Sq. Feet: 6,000 | Approximate Exterior Sq. Ft: 541"
"THE CARLYLE, 35 East 76th Street, 26 - Upper East Side, New York",120000,"Cooperative, Doorman",4 Beds | 4 Baths | 1 Half Bath,Listing ID: 3794346
"20 East 76th Street, PRESSUITE - Upper East Side, New York",85000,"Rental, Doorman",2 Beds | 2 Baths | 1 Half Bath,"Approximate Sq. Feet: 2,400"
"1110 Park Avenue, PHA - Carnegie Hill, New York",85000,"Condo, Doorman",5 Beds | 5 Baths | 1 Half Bath,"Approximate Sq. Feet: 7,000 | Approximate Exterior Sq. Ft: 1738"
"471 Washington Street, PH - TriBeCa, New York",80000,"Condo, Doorman",5 Beds | 6 Baths,"Approximate Sq. Feet: 7,137 | Approximate Exterior Sq. Ft: 4373"
"Time Warner Center, 25 Columbus Circle, 74/75B - Central Park South, New York",79000,"Condo, Doorman",4 Beds | 4 Baths | 1 Half Bath,"Approximate Sq. Feet: 3,491"
"125 East 73rd Street - Upper East Side, New York",75000,Single Family Townhouse,6 Beds | 10 Baths,"Approximate Sq. Feet: 11,400"
"520 Park Avenue, 25 - Upper East Side, New York",62000,"Condo, Doorman",4 Beds | 5 Baths,"Approximate Sq. Feet: 4,628"
"327 West 4th Street - West Village - Meatpacking District, New York",60000,Multi-Family,,Listing ID: 2362259
"111 East 65th Street - Upper East Side, New York",60000,Single Family Townhouse,7 Beds | 6 Baths | 1 Half Bath,"Approximate Sq. Feet: 8,625"
"220 Central Park South, 37A - Central Park South, New York",60000,"Condo, Doorman",3 Beds | 3 Baths | 1 Half Bath,"Approximate Sq. Feet: 3,114"
"101 Warren Street, 3210/3240 - TriBeCa, New York",59000,"Condo, Doorman",7 Beds | 7 Baths,"Approximate Sq. Feet: 6,400 | Approximate Exterior Sq. Ft: 2450"
"20 East 76th Street, ULTRA3 - Upper East Side, New York",56000,"Rental, Doorman",3 Beds | 3 Baths,Listing ID: 3749495
