,Address,Price,Rental_type,Sqfeet,Boro,Agency,Beds,Baths
2,"526 Carlton Avenue - Prospect Heights, New York",15000,Single Family Townhouse,"Approximate Sq. Feet: 3,600",Brooklyn,Elliman,5 Beds, 4 Baths
3,"Pacific Street - Boerum Hill, New York",13000,"Condo, Doorman","Approximate Sq. Feet: 1,546",Brooklyn,Elliman,3 Beds, 2 Baths
4,"382 Degraw Street - Carroll Gardens, New York",12750,Single Family Townhouse,"Approximate Sq. Feet: 3,200",Brooklyn,Elliman,5 Beds, 3 Baths 
5,"1375 Dean Street, B - Crown Heights, New York",10500,Single Family Townhouse,"Approximate Sq. Feet: 2,033",Brooklyn,Elliman,5 Beds, 3 Baths
6,"203A Windsor Pl - Windsor Terrace, New York",9500,Single Family Townhouse,"Approximate Sq. Feet: 2,724",Brooklyn,Elliman,3 Beds, 2 Baths
10,"New York Avenue - Crown Heights, New York",8450,Rental,Listing ID: 3814124,Brooklyn,Elliman,5 Beds, 5 Baths
11,"438 7th Street, 2 - Park Slope, New York",8400,Rental,Listing ID: 3825622,Brooklyn,Elliman,4 Beds, 2 Baths
12,"115A King Street - Red Hook, New York",8250,Single Family Townhouse,"Approximate Sq. Feet: 2,722",Brooklyn,Elliman,4 Beds, 3 Baths
13,"1 Blue Slip, 9H - Greenpoint, New York",8087,Rental,Listing ID: 3451256,Brooklyn,Elliman,2 Beds, 2 Baths
14,"1 Blue Slip, 25G - Greenpoint, New York",7869,Rental,Listing ID: 3571210,Brooklyn,Elliman,3 Beds, 2 Baths
15,"63 Putnam Avenue, 2 - Clinton Hill, New York",7750,Rental,"Approximate Sq. Feet: 1,500",Brooklyn,Elliman,4 Beds, 2 Baths 
16,"193 Berkeley Pl, 2 - Park Slope, New York",7500,Rental,"Approximate Sq. Feet: 1,900",Brooklyn,Elliman,3 Beds, 2 Baths 
17,"550 Vanderbilt Avenue, 1319 - Prospect Heights, New York",7500,"Condo, Doorman","Approximate Sq. Feet: 1,573",Brooklyn,Elliman,2 Beds, 2 Baths 
18,"THE GRETSCH BUILDING, 60 Broadway, 10G - Williamsburg, New York",7300,"Condo, Doorman","Approximate Sq. Feet: 1,342",Brooklyn,Elliman,Loft, 2 Beds 
19,"685 Sixth Avenue - Greenwood, New York",7200,Single Family Townhouse,"Approximate Sq. Feet: 2,300",Brooklyn,Elliman,4 Beds, 3 Baths
20,"North 9th Street - Williamsburg, New York",7200,Rental,Listing ID: 3515308,Brooklyn,Elliman,2 Beds, 1 Bath
22,"ONE HANSON PLACE, 1 Hanson Pl, 16H - Fort Greene, New York",7000,"Condo, Doorman","Approximate Sq. Feet: 1,475",Brooklyn,Elliman,3 Beds, 2 Baths
23,"28 2nd Pl, 2 - Brooklyn Other, New York",6950,Multi-Family,"Approximate Sq. Feet: 1,200",Brooklyn,Elliman,3 Beds, 2 Baths
24,"16 MONROE PL, 2 - Brooklyn Heights, New York",6900,Rental,Listing ID: 3829120,Brooklyn,Elliman,3 Beds, 2 Baths
25,"Luquer Street - Carroll Gardens, New York",6900,Rental,"Approximate Sq. Feet: 1,700",Brooklyn,Elliman,2 Beds, 1 Bath 
26,"111 Lefferts Pl, 1 - Clinton Hill, New York",6850,Multi-Family,Listing ID: 3808841,Brooklyn,Elliman,3 Beds, 2 Baths 
27,"70 Washington Street, 5L - Dumbo, New York",6800,"Condo, Doorman","Approximate Sq. Feet: 1,551",Brooklyn,Elliman,Loft, 2 Beds 
28,"138 Broadway, 1E - Williamsburg, New York",6750,Condo,"Approximate Sq. Feet: 2,500",Brooklyn,Elliman,Loft, 1 Bed 
29,"60 Water Street, 628 - Dumbo, New York",6695,"Rental, Doorman",Listing ID: 3896583,Brooklyn,Elliman,2 Beds, 2 Baths
30,"55 Berry Street, 6C - Williamsburg, New York",6500,"Condo, Doorman","Approximate Sq. Feet: 1,369",Brooklyn,Elliman,Loft, 2 Beds 
31,"The Boerum, 265 State Street, 714 - Boerum Hill, New York",6500,Condo,"Approximate Sq. Feet: 1,266",Brooklyn,Elliman,2 Beds, 2 Baths
32,"72 Conselyea Street, PARLOR - Williamsburg, New York",6495,Rental,Listing ID: 3895736,Brooklyn,Elliman,2 Beds, 4 Baths
33,"Water Street - Dumbo, New York",6495,"Rental, Doorman",Approximate Sq. Feet: 963,Brooklyn,Elliman,2 Beds, 2 Baths
34,"475 Clermont Avenue, 721A - Fort Greene, New York",6460,Rental,Listing ID: 3872961,Brooklyn,Elliman,2 Beds, 2 Baths
35,"Plaza Street - Prospect Heights, New York",6395,"Rental, Doorman",Listing ID: 3874065,Brooklyn,Elliman,4 Beds, 2 Baths 
36,"30 St Felix Street, 3B - Fort Greene, New York",6375,Rental,"Approximate Sq. Feet: 1,500",Brooklyn,Elliman,Loft, 2 Beds 
37,"300 Ashland Pl, 28A - Fort Greene, New York",6328,"Rental, Doorman",Listing ID: 3892439,Brooklyn,Elliman,2 Beds, 2 Baths
38,"Lawrence Street - Downtown Brooklyn, New York",6015,"Rental, Doorman","Approximate Sq. Feet: 1,132",Brooklyn,Elliman,2 Beds, 2 Baths
39,"1609 Cortelyou Rd, COMMERCIAL - Ditmas Park, New York",6000,Rental,Listing ID: 3872604,Brooklyn,Elliman,Studio, 1 Bath
40,"North 9th Street - Williamsburg, New York",6000,Rental,Listing ID: 3710775,Brooklyn,Elliman,2 Beds, 1 Bath
41,"100 Jay Street, 26C - Dumbo, New York",5995,"Condo, Doorman","Approximate Sq. Feet: 1,182 | Approximate Exterior Sq. Ft: 60",Brooklyn,Elliman,2 Beds, 2 Baths
42,"323 Washington Avenue, 2 - Clinton Hill, New York",5950,Condo,"Approximate Sq. Feet: 1,150",Brooklyn,Elliman,2 Beds, 2 Baths
43,"Lawrence Street - Downtown Brooklyn, New York",5943,"Rental, Doorman","Approximate Sq. Feet: 1,132",Brooklyn,Elliman,2 Beds, 2 Baths
44,"North 9th Street - Williamsburg, New York",5909,Condo,Approximate Sq. Feet: 966,Brooklyn,Elliman,2 Beds, 2 Baths
45,"1 Blue Slip, 5B - Greenpoint, New York",5871,Rental,Listing ID: 3751348,Brooklyn,Elliman,2 Beds, 2 Baths
46,"323 Washington Avenue, 3 - Clinton Hill, New York",5850,Condo,"Approximate Sq. Feet: 1,150",Brooklyn,Elliman,2 Beds, 2 Baths
47,"50 Greenpoint Avenue, PHB - Greenpoint, New York",5795,"Condo, Doorman",Approximate Exterior Sq. Ft: 284,Brooklyn,Elliman,2 Beds, 2 Baths
48,"323 Washington Avenue, 4 - Clinton Hill, New York",5775,Condo,"Approximate Sq. Feet: 1,200",Brooklyn,Elliman,2 Beds, 1 Bath
49,"Montague Street - Brooklyn Heights, New York",5762,"Rental, Doorman","Approximate Sq. Feet: 1,046",Brooklyn,Elliman,2 Beds, 2 Baths
50,"860 Prospect Pl, 1 - Crown Heights, New York",5750,Multi-Family,Listing ID: 3860585,Brooklyn,Elliman,3 Beds, 2 Baths 
51,"21 India Street, 37C - Greenpoint, New York",5750,"Condo, Doorman","Approximate Sq. Feet: 1,194",Brooklyn,Elliman,2 Beds, 2 Baths
52,"1 Blue Slip, 8M - Greenpoint, New York",5721,Rental,Listing ID: 3803884,Brooklyn,Elliman,2 Beds, 2 Baths
53,"North 9th Street - Williamsburg, New York",5571,Rental,Listing ID: 3515304,Brooklyn,Elliman,2 Beds, 2 Baths
54,"Gold Street - Downtown Brooklyn, New York",5571,"Rental, Doorman",Listing ID: 3703814,Brooklyn,Elliman,2 Beds, 2 Baths
55,"475 Clermont Avenue, 619 - Fort Greene, New York",5535,Rental,Listing ID: 3882643,Brooklyn,Elliman,2 Beds, 2 Baths
56,"170 North 11th Street, 3B - Williamsburg, New York",5500,Condo,"Approximate Sq. Feet: 1,130",Brooklyn,Elliman,2 Beds, 2 Baths
57,"164 South 3rd Street, PH4A - Williamsburg, New York",5500,Multi-Family,Listing ID: 3826105,Brooklyn,Elliman,2 Beds, 2 Baths
58,"Driggs Avenue - Williamsburg, New York",5500,"Rental, Doorman","Approximate Sq. Feet: 1,200",Brooklyn,Elliman,2 Beds, 1 Bath
60,"Water Street - Dumbo, New York",5495,"Rental, Doorman",Listing ID: 3812507,Brooklyn,Elliman,2 Beds, 2 Baths
61,"Caton Pl - Windsor Terrace, New York",5491,"Rental, Doorman",Listing ID: 3723879,Brooklyn,Elliman,3 Beds, 2 Baths
62,"Duffield Street - Downtown Brooklyn, New York",5370,"Rental, Doorman",Listing ID: 3888521,Brooklyn,Elliman,2 Beds, 2 Baths
63,"1 Blue Slip, 8D - Greenpoint, New York",5366,Rental,Listing ID: 3895233,Brooklyn,Elliman,2 Beds, 2 Baths
64,"North 10th Street - Williamsburg, New York",5335,"Rental, Doorman","Approximate Sq. Feet: 1,047",Brooklyn,Elliman,2 Beds, 2 Baths
65,"505 Court Street, 6R - Carroll Gardens, New York",5300,"Condo, Doorman","Approximate Sq. Feet: 1,348",Brooklyn,Elliman,Loft, 3 Beds 
66,"475 Clermont Avenue, 217A - Fort Greene, New York",5295,Rental,Listing ID: 3872933,Brooklyn,Elliman,2 Beds, 2 Baths
67,"Clifton Pl - Clinton Hill, New York",5250,Rental,Listing ID: 3841400,Brooklyn,Elliman,3 Beds, 2 Baths
68,"North 9th Street - Williamsburg, New York",5228,Rental,Listing ID: 3710773,Brooklyn,Elliman,2 Beds, 1 Bath
69,"Berry Street - Williamsburg, New York",5200,"Rental, Doorman","Approximate Sq. Feet: 1,168",Brooklyn,Elliman,2 Beds, 1 Bath
70,"365 Bond Street, B703 - Gowanus, New York",5200,"Rental, Doorman",Listing ID: 3314021,Brooklyn,Elliman,1 Bed, 1 Bath
71,"136 Union Street, 1 - Columbia Street Waterfront District, New York",5150,,Listing ID: 3853956,Brooklyn,Elliman,3 Beds, 2 Baths
72,"546 Pacific Street, 2 - Boerum Hill, New York",5100,Multi-Family,"Approximate Sq. Feet: 1,400",Brooklyn,Elliman,3 Beds, 1 Bath
73,"Berry Street - Williamsburg, New York",5045,"Rental, Doorman","Approximate Sq. Feet: 1,119",Brooklyn,Elliman,2 Beds, 1 Bath
74,"Bridge Harbor Heights, 55 Poplar Street, 2A - Brooklyn Heights, New York",5000,Condo,"Approximate Sq. Feet: 1,100",Brooklyn,Elliman,Loft, 2 Beds 
75,"Clifton Pl - Clinton Hill, New York",5000,Rental,"Approximate Sq. Feet: 1,450",Brooklyn,Elliman,Loft, 4 Beds 
76,"380 South 5th Street, 2 - Williamsburg, New York",4995,Rental,Listing ID: 3871854,Brooklyn,Elliman,3 Beds, 2 Baths
77,"THE GRETSCH BUILDING, 60 Broadway, 6N - Williamsburg, New York",4995,"Condo, Doorman","Approximate Sq. Feet: 1,140",Brooklyn,Elliman,Loft, 1 Bed 
